Vocabulary,name,Users,MEDS:STATUS,MEDS:CATEGORY_MEANING_E,MEDS:CATEGORY_MEANING_F,MEDS:UNITS_DESCRIPTOR_E,MEDS:UNITS_DESCRIPTOR_F,MEDS:CF_CODE,MEDS:NETCDF_LONG_NAME,MEDS:WMO_CODE_TABLE_ID,MEDS:CONVENTION,BIO:units,BIO:P06 urn,BIO:P06 name,BIO:P01 urn,BIO:P01 name,BIO:CF_CODE,IML:definition,IML:units,standard_name,SDN:P07::id,SDN:P01::id,SDN:P01::urn,SDN:P01::prefLabel,sdn_parameter_urn,sdn_parameter_name,SDN:P06::id,SDN:P06::urn,SDN:P06::prefLabel,sdn_uom_urn,sdn_uom_name,expected_units,definition,convention
GF3,443ESDEV,MEDS,,,,,,,,,,,,,,,,Irradiance 443nm Standard Deviation. Unité: uW/cm**2/nm,uW/cm**2/n,,,,,,,,,,,,,uW/cm**2/n,Irradiance 443nm Standard Deviation. Unité: uW/cm**2/nm,
GF3,443L,"BIO,MEDS",,,,,,,,,,uW/cm^2/nm/sr,,,RXUU443L,Upwelling radiance as energy of electromagnetic radiation (443nm wavelength) in the water body by radiance sensor,,,,,,http://vocab.nerc.ac.uk/collection/P01/current/RXUU443L/,RXUU443L,Upwelling radiance as energy of electromagnetic radiation (443nm wavelength) in the water body by radiance sensor,SDN:P01::RXUU443L,Upwelling radiance as energy of electromagnetic radiation (443nm wavelength) in the water body by radiance sensor,,,,,,uW/cm^2/nm/sr,Upwelling radiance as energy of electromagnetic radiation (443nm wavelength) in the water body by radiance sensor,
GF3,443LSDEV,"BIO,MEDS",,,,,,,,,,Uw/cm^2/nm/sr,,,,,,,,,,,,,,,,,,,,Uw/cm^2/nm/sr,,
GF3,443SDEV,BIO,,,,,,,,,,Uw/cm^2/nm,,,,,,,,,,,,,,,,,,,,Uw/cm^2/nm,,
GF3,490E,"BIO,MEDS",,,,,,,,,,uW/cm^2/nm,,,RXUU490E,Upwelling vector irradiance as energy of electromagnetic radiation (490nm wavelength) in the water body by cosine-collector radiometer,,,,,,http://vocab.nerc.ac.uk/collection/P01/current/RXUU490E/,RXUU490E,Upwelling vector irradiance as energy of electromagnetic radiation (490nm wavelength) in the water body by cosine-collector radiometer,SDN:P01::RXUU490E,Upwelling vector irradiance as energy of electromagnetic radiation (490nm wavelength) in the water body by cosine-collector radiometer,,,,,,uW/cm^2/nm,Upwelling vector irradiance as energy of electromagnetic radiation (490nm wavelength) in the water body by cosine-collector radiometer,
GF3,490ESDEV,"BIO,MEDS",,,,,,,,,,uW/cm^2/nm,,,,,,,,,,,,,,,,,,,,uW/cm^2/nm,,
GF3,490L,"BIO,MEDS",,,,,,,,,,uW/cm^2/nm/sr,,,RXUU490L,Upwelling radiance as energy of electromagnetic radiation (490nm wavelength) in the water body by radiance sensor,,,,,,http://vocab.nerc.ac.uk/collection/P01/current/RXUU490L/,RXUU490L,Upwelling radiance as energy of electromagnetic radiation (490nm wavelength) in the water body by radiance sensor,SDN:P01::RXUU490L,Upwelling radiance as energy of electromagnetic radiation (490nm wavelength) in the water body by radiance sensor,,,,,,uW/cm^2/nm/sr,Upwelling radiance as energy of electromagnetic radiation (490nm wavelength) in the water body by radiance sensor,
GF3,490LSDEV,"BIO,MEDS",,,,,,,,,,Uw/cm^2/nm/sr,,,,,,,,,,,,,,,,,,,,Uw/cm^2/nm/sr,,
GF3,510E,"BIO,MEDS",,,,,,,,,,Uw/cm^2/nm,,,RXUU510E,Upwelling vector irradiance as energy of electromagnetic radiation (510nm wavelength) in the water body by cosine-collector radiometer,,,,,,http://vocab.nerc.ac.uk/collection/P01/current/RXUU510E/,RXUU510E,Upwelling vector irradiance as energy of electromagnetic radiation (510nm wavelength) in the water body by cosine-collector radiometer,SDN:P01::RXUU510E,Upwelling vector irradiance as energy of electromagnetic radiation (510nm wavelength) in the water body by cosine-collector radiometer,,,,,,Uw/cm^2/nm,Upwelling vector irradiance as energy of electromagnetic radiation (510nm wavelength) in the water body by cosine-collector radiometer,
GF3,510ESDEV,"BIO,MEDS",,,,,,,,,,Uw/cm^2/nm,,,,,,,,,,,,,,,,,,,,Uw/cm^2/nm,,
GF3,510L,"BIO,MEDS",,,,,,,,,,uW/cm^2/nm/sr,,,RXUU510L,Upwelling radiance as energy of electromagnetic radiation (510nm wavelength) in the water body by radiance sensor,,,,,,http://vocab.nerc.ac.uk/collection/P01/current/RXUU510L/,RXUU510L,Upwelling radiance as energy of electromagnetic radiation (510nm wavelength) in the water body by radiance sensor,SDN:P01::RXUU510L,Upwelling radiance as energy of electromagnetic radiation (510nm wavelength) in the water body by radiance sensor,,,,,,uW/cm^2/nm/sr,Upwelling radiance as energy of electromagnetic radiation (510nm wavelength) in the water body by radiance sensor,
GF3,510LSDEV,"BIO,MEDS",,,,,,,,,,Uw/cm^2/nm/sr,,,,,,,,,,,,,,,,,,,,Uw/cm^2/nm/sr,,
GF3,555E,"BIO,MEDS",,,,,,,,,,uW/cm^2/nm,,,RXUU555E,Upwelling vector irradiance as energy of electromagnetic radiation (555nm wavelength) in the water body by cosine-collector radiometer,,,,,,http://vocab.nerc.ac.uk/collection/P01/current/RXUU555E/,RXUU555E,Upwelling vector irradiance as energy of electromagnetic radiation (555nm wavelength) in the water body by cosine-collector radiometer,SDN:P01::RXUU555E,Upwelling vector irradiance as energy of electromagnetic radiation (555nm wavelength) in the water body by cosine-collector radiometer,,,,,,uW/cm^2/nm,Upwelling vector irradiance as energy of electromagnetic radiation (555nm wavelength) in the water body by cosine-collector radiometer,
GF3,555ESDEV,"BIO,MEDS",,,,,,,,,,uW/cm^2/nm,,,,,,,,,,,,,,,,,,,,uW/cm^2/nm,,
GF3,555L,"BIO,MEDS",,,,,,,,,,uW/cm^2/nm/sr,,,RXUU555L,Upwelling radiance as energy of electromagnetic radiation (555nm wavelength) in the water body by radiance sensor,,,,,,http://vocab.nerc.ac.uk/collection/P01/current/RXUU555L/,RXUU555L,Upwelling radiance as energy of electromagnetic radiation (555nm wavelength) in the water body by radiance sensor,SDN:P01::RXUU555L,Upwelling radiance as energy of electromagnetic radiation (555nm wavelength) in the water body by radiance sensor,,,,,,uW/cm^2/nm/sr,Upwelling radiance as energy of electromagnetic radiation (555nm wavelength) in the water body by radiance sensor,
GF3,555LSDEV,"BIO,MEDS",,,,,,,,,,Uw/cm^2/nm/sr,,,,,,,,,,,,,,,,,,,,Uw/cm^2/nm/sr,,
GF3,669E,"BIO,MEDS",,,,,,,,,,uW/cm^2/nm,,,IRRDE669,Downwelling vector irradiance as photons of electromagnetic radiation (669nm wavelength) in the water body by cosine-collector radiometer,,,,,,http://vocab.nerc.ac.uk/collection/P01/current/IRRDE669/,IRRDE669,Downwelling vector irradiance as photons of electromagnetic radiation (669nm wavelength) in the water body by cosine-collector radiometer,SDN:P01::IRRDE669,Downwelling vector irradiance as photons of electromagnetic radiation (669nm wavelength) in the water body by cosine-collector radiometer,,,,,,uW/cm^2/nm,Downwelling vector irradiance as photons of electromagnetic radiation (669nm wavelength) in the water body by cosine-collector radiometer,
GF3,669ESDEV,"BIO,MEDS",,,,,,,,,,uW/cm^2/nm,,,,,,,,,,,,,,,,,,,,uW/cm^2/nm,,
GF3,669L,"BIO,MEDS",,,,,,,,,,uW/cm^2/nm/sr,,,,,,,,,,,,,,,,,,,,uW/cm^2/nm/sr,,
GF3,669LSDEV,"BIO,MEDS",,,,,,,,,,uW/cm^2/nm/sr,,,,,,,,,,,,,,,,,,,,uW/cm^2/nm/sr,,
GF3,683E,"BIO,MEDS",,,,,,,,,,uW/cm^2/nm,,,RXUD683E,Downwelling vector irradiance as energy of electromagnetic radiation (683nm wavelength) in the water body by cosine-collector radiometer,,,,,,http://vocab.nerc.ac.uk/collection/P01/current/RXUD683E/,RXUD683E,Downwelling vector irradiance as energy of electromagnetic radiation (683nm wavelength) in the water body by cosine-collector radiometer,SDN:P01::RXUD683E,Downwelling vector irradiance as energy of electromagnetic radiation (683nm wavelength) in the water body by cosine-collector radiometer,,,,,,uW/cm^2/nm,Downwelling vector irradiance as energy of electromagnetic radiation (683nm wavelength) in the water body by cosine-collector radiometer,
GF3,683ESDEV,"BIO,MEDS",,,,,,,,,,uW/cm^2/nm,,,,,,,,,,,,,,,,,,,,uW/cm^2/nm,,
GF3,683L,"BIO,MEDS",,,,,,,,,,uW/cm^2/nm/sr,,,RXUUU683,Upwelling radiance as energy of electromagnetic radiation (683nm wavelength) in the water body by radiance sensor,,,,,,,,,,,,,,,,uW/cm^2/nm/sr,,
GF3,683LSDEV,"BIO,MEDS",,,,,,,,,,uW/cm^2/nm/sr,,,,,,,,,,,,,,,,,,,,uW/cm^2/nm/sr,,
GF3,ABA$,MEDS,A,Instrument characteristics,Caractéristiques de l'instrument,number,nombre,,,,,,,,,,,,,,,,,,,,,,,,,number,,
GF3,ABSH,"BIO,IML,MEDS",A,Meteorology,Météorologie,gram per metre cube,gramme par mètre cube,,,,,g/m^3,UGMC,grams per cubic metre,CHUMZZ01,Relative humidity of the atmosphere,specific_humidity,,,specific_humidity,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0313/,http://vocab.nerc.ac.uk/collection/P01/current/CHUMZZ01/,CHUMZZ01,Relative humidity of the atmosphere,SDN:P01::CHUMZZ01,Relative humidity of the atmosphere,http://vocab.nerc.ac.uk/collection/P06/current/UGMC/,UGMC,Grams per cubic metre,SDN:P06::UGMC,Grams per cubic metre,"g/m^3,gram per metre cube",Relative humidity of the atmosphere,
GF3,AC2$,MEDS,A,General purpose,Tout usage,text,texte,,unique_number_HHMMSS_profNo,,,,,,,,,,,,,,,,,,,,,,,text,,
GF3,ACC$,MEDS,A,General purpose,Tout usage,text,texte,,accession_number_meds,,,,,,,,,,,,,,,,,,,,,,,text,,
GF3,ACCM,MEDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GF3,ACCS,MEDS,A,General purpose,Tout usage,text,texte,,,,,,,,,,,,,,,,,,,,,,,,,text,,
GF3,ACF$,MEDS,A,General purpose,Tout usage,text,texte,,instrument_active_yn,,,,,,,,,,,,,,,,,,,,,,,text,,
GF3,ACI$,MEDS,A,General purpose,Tout usage,text,texte,,number_accession_tidal_station,,,,,,,,,,,,,,,,,,,,,,,text,,
GF3,ACT$,MEDS,A,General purpose,Tout usage,text,texte,,type_accession_tidal_station,,,,,,,,,,,,,,,,,,,,,,,text,,
GF3,ACY$,MEDS,A,General purpose,Tout usage,text,texte,,year_accession_tidal_station,,,,,,,,,,,,,,,,,,,,,,,text,,
GF3,ADID,MEDS,A,General purpose,Tout usage,text,texte,,id_database_aodc,,,,,,,,,,,,,,,,,,,,,,,text,,
GF3,ADNB,MEDS,A,Wave,Vague,number,nombre,,number_of_blocks_averaged_in_spectrum,,,,,,,,,,,,,,,,,,,,,,,number,,
GF3,ADNS,MEDS,A,Wave,Vague,number,nombre,,number_of_samples_per_Fourier_block,,,,,,,,,,,,,,,,,,,,,,,number,,
GF3,ADST,MEDS,A,Instrument characteristics,Caractéristiques de l'instrument,number,nombre,,automatic_gain_control,,,,,,,,,,,,,,,,,,,,,,,number,,
GF3,ADSV,MEDS,A,Instrument characteristics,Caractéristiques de l'instrument,number,nombre,,automatic_gain_control_variance,,,,,,,,,,,,,,,,,,,,,,,number,,
GF3,AED1,MEDS,A,Wave,Vague,degree(angle),degré(angle),,wave_direction_AES_from_METOC_hindcast,,,,,,,,,,,,,,,,,,,,,,,degree,,
GF3,AFN$,MEDS,A,Instrument characteristics,Caractéristiques de l'instrument,number,nombre,,,,,,,,,,,,,,,,,,,,,,,,,number,,
GF3,ALKC,MEDS,A,Chemistry,Chimie,micromole per kilogram,micromole par kilogramme,,,,,,,,,,,,,,,,,,,,,,,,,micromole per kilogram,,
GF3,ALKP,MEDS,A,Chemistry,Chimie,micromole per kilogram,micromole par kilogramme,,,,,,,,,,,,,,,,,,,,,,,,,micromole per kilogram,,
GF3,ALKT,MEDS,A,Chemistry,Chimie,micromole per kilogram,micromole par kilogramme,,,,,,,,,,,,,,,,,,,,,,,,,micromole per kilogram,,
GF3,ALKY,"BIO,IML,MEDS",A,Chemistry,Chimie,millimole per metre cube,millimole par mètre cube,,,,,mmol/m^3,MMCM,millimoles per cubic metre,ALKYZZXX,Total alkalinity per unit volume of the water body,,,,,,http://vocab.nerc.ac.uk/collection/P01/current/ALKYZZXX/,ALKYZZXX,Total alkalinity per unit volume of the water body,SDN:P01::ALKYZZXX,Total alkalinity per unit volume of the water body,http://vocab.nerc.ac.uk/collection/P06/current/MMCM/,MMCM,Millimoles per cubic metre,SDN:P06::MMCM,Millimoles per cubic metre,"millimole per metre cube,mmol/m^3",Total alkalinity per unit volume of the water body,
GF3,ALLO,BIO,A,Biological Oceanography,Océanographie biologique,milligram per metre cube,milligramme par mètre cube,,,,,,,,,,,,,,,,,,,,,,,,,milligram per metre cube,,
GF3,ALPO,"BIO,IML",A,General purpose,Tout usage,metre cube per kilogram,mètre cube par kilogramme,,,,,m^3/ kg,,,,,,,,,,,,,,,,,,,,"metre cube per kilogram,m^3/ kg",,
GF3,ALTB,"BIO,MEDS",A,Position and navigation,Position et navigation,metre,mètre,,height_above_bottom,,,metres,ULAA,metres,AHSGZZ01,Height above bed in the water body,,,,,,,,,,,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,ULAA,Metres,SDN:P06::ULAA,Metres,metre,,
GF3,ALTG,MEDS,A,Position and navigation,Position et navigation,metre,mètre,,height_above_ground_level,,,,,,,,,,,,,,,,,,,,,,,metre,,
GF3,ALTS,"BIO,IML,MEDS",A,Position and navigation,Position et navigation,metre,mètre,,,,,metres,ULAA,metres,AHSLZZ01,Height above sea level (spatial co-ordinate),,,,,,http://vocab.nerc.ac.uk/collection/P01/current/AHSLZZ01/,AHSLZZ01,Height (spatial coordinate) relative to sea level,SDN:P01::AHSLZZ01,Height (spatial coordinate) relative to sea level,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,ULAA,Metres,SDN:P06::ULAA,Metres,metre,Height (spatial coordinate) relative to sea level,
GF3,AMON,"BIO,IML,MEDS",A,Chemistry,Chimie,millimole per metre cube,millimole par mètre cube,,,,,mmol/m^3,MMCM,millimoles per cubic metre,MDMAP04,Concentration of ammonium {NH4+ CAS 14798-03-9} per unit mass of the water body [unknown phase],millimole_concentration_of_ammonium_in_sea_water,,,,,,,,,,http://vocab.nerc.ac.uk/collection/P06/current/MMCM/,MMCM,Millimoles per cubic metre,SDN:P06::MMCM,Millimoles per cubic metre,"millimole per metre cube,mmol/m^3",,
GF3,ANH$,MEDS,A,Instrument characteristics,Caractéristiques de l'instrument,metre,mètre,,height_of_anemometer_above_sea_level,,,,,,,,,,,,,,,,,,,,,,,metre,,
GF3,ANT$,MEDS,A,Instrument characteristics,Caractéristiques de l'instrument,metre,mètre,,anemometer_type,114.0,,,,,,,,,,,,,,,,,,,,,,metre,,
GF3,APC1,MEDS,A,Special IGOSS Indicator,Indicateur spécial IGOSS,minute(time),minute(durée),,period_for_averaging_surface_current,,,,,,,,,,,,,,,,,,,,,,,minute(time),,
GF3,APER,MEDS,A,Position and navigation,Position et navigation,code table,table de code,,period_for_averaging_measurement,264.0,,,,,,,,,,,,,,,,,,,,,,code table,,
GF3,APN$,MEDS,A,General purpose,Tout usage,text,texte,,period_for_averaging_salinity,,,,,,,,,,,,,,,,,,,,,,,text,,
GF3,APP$,MEDS,A,Instrument characteristics,Caractéristiques de l'instrument,count,compte,,,,,,,,,,,,,,,,,,,,,,,,,count,,
GF3,APR$,MEDS,A,Special IGOSS Indicator,Indicateur spécial IGOSS,text,texte,,,,,,,,,,,,,,,,,,,,,,,,,text,,
GF3,APS1,MEDS,A,Special IGOSS Indicator,Indicateur spécial IGOSS,minute(time),minute(durée),,,,,,,,,,,,,,,,,,,,,,,,,minute(time),,
GF3,APT1,MEDS,A,Special IGOSS Indicator,Indicateur spécial IGOSS,minute(time),minute(durée),,period_for_averaging_temperature,,,,,,,,,,,,,,,,,,,,,,,minute(time),,
GF3,AQA$,MEDS,A,Position and navigation,Position et navigation,code table,table de code,,,,,,,,,,,,,,,,,,,,,,,,,code table,,
GF3,AREA,MEDS,A,General purpose,Tout usage,code table,table de code,,area_code_NODC,,,,,,,,,,,,,,,,,,,,,,,code table,,
GF3,ARG$,MEDS,A,General purpose,Tout usage,number,nombre,,,,,,,,,,,,,,,,,,,,,,,,,number,,
GF3,AST1,MEDS,A,Wave,Vague,degree Celsius,degré Celsius,,,,,,,,,,,,,,,,,,,,,,,,,degree Celsius,,
GF3,AST2,MEDS,A,Wave,Vague,degree Celsius,degré Celsius,,,,,,,,,,,,,,,,,,,,,,,,,degree Celsius,,
GF3,ASTD,MEDS,A,Meteorology,Météorologie,degree Celsius,degré Celsius,,air_sea_temperature_difference,,,,,,,,,,,,,,,,,,,,,,,degree Celsius,,
GF3,ATBE,MEDS,A,Biology,Biologie,per metre,par mètre,,,,,,,,,,,,,,,,,,,,,,,,,per metre,,
GF3,ATCK,MEDS,A,Position and navigation,Position et navigation,degree(angle),degré(angle),,angle_of_attack_aircraft,,,,,,,,,,,,,,,,,,,,,,,degree,,
GF3,ATMP,"BIO,MEDS",,,,,,,,,,hPa,HPAX,hectopascal,,,air_pressure,,,air_pressure,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0015/,,,,,,http://vocab.nerc.ac.uk/collection/P06/current/HPAX/,HPAX,Hectopascals,SDN:P06::HPAX,Hectopascals,hPa,,
GF3,ATMS,"BIO,IML,MEDS",A,Meteorology,Météorologie,hectopascal,hectopascal,,,,,hPa,HPAX,hectopascal,,,air_pressure_at_mean_sea_level,,,air_pressure_at_mean_sea_level,http://vocab.nerc.ac.uk/collection/P07/current/Q9ZYSAOC/,,,,,,http://vocab.nerc.ac.uk/collection/P06/current/HPAX/,HPAX,Hectopascals,SDN:P06::HPAX,Hectopascals,"hPa,hectopascal",,
GF3,ATP$,MEDS,A,Chemistry,Chimie,milligram per metre cube,milligramme par mètre cube,,,,,,,,,,,,,,,,,,,,,,,,,milligram per metre cube,,
GF3,ATPT,MEDS,A,Meteorology,Météorologie,hectopascal per hour,hectopascal par heure,tendency_of_air_pressure,,,,,,,,,,,,tendency_of_air_pressure,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0201/,,,,,,,,,,,hectopascal per hour,,
GF3,ATP_,"BIO,IML",,,,,,,,,,mg/ m^3,,,ATPXZZDZ,Concentration of adenosine triphosphate {ATP CAS 56-65-5} per unit volume of the water body [dissolved plus reactive particulate <unknown phase],,,,,,http://vocab.nerc.ac.uk/collection/P01/current/ATPXZZDZ/,ATPXZZDZ,Concentration of adenosine triphosphate {ATP CAS 56-65-5} per unit volume of the water body [dissolved plus reactive particulate <unknown phase],SDN:P01::ATPXZZDZ,Concentration of adenosine triphosphate {ATP CAS 56-65-5} per unit volume of the water body [dissolved plus reactive particulate <unknown phase],,,,,,mg/ m^3,Concentration of adenosine triphosphate {ATP CAS 56-65-5} per unit volume of the water body [dissolved plus reactive particulate <unknown phase],
GF3,ATRK,"BIO,IML,MEDS",A,Position and navigation,Position et navigation,metre,mètre,,,,,,,,,,,,,,,,,,,,,,,,,metre,,
GF3,ATRK ,BIO,,,,,,,,,,metres,ULAA,metres,,,,,,,,,,,,,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,ULAA,Metres,SDN:P06::ULAA,Metres,metre,,
GF3,ATTE,MEDS,A,Geophysics,Géophysique,per metre,par mètre,,light_attenuation,,,,,,,,,,,,,,,,,,,,,,,per metre,,
GF3,ATTU,"BIO,IML",A,Instrument characteristics,Caractéristiques de l'instrument,per metre,par mètre,,,,,/m,NOPM,number per metre,ATTNXXZZ,Attenuation (unspecified wavelength) per unit length of the water body,,,,,,http://vocab.nerc.ac.uk/collection/P01/current/ATTNXXZZ/,ATTNXXZZ,Attenuation (unspecified wavelength) per unit length of the water body,SDN:P01::ATTNXXZZ,Attenuation (unspecified wavelength) per unit length of the water body,http://vocab.nerc.ac.uk/collection/P06/current/NOPM/,NOPM,Number per metre,SDN:P06::NOPM,Number per metre,"per metre,/m",Attenuation (unspecified wavelength) per unit length of the water body,
GF3,AUTH,"IML,MEDS",A,Biota composition,Composition du biote,text,texte,,,,,,,,,,,,,,,,,,,,,,,,,text,,
GF3,AVP$,MEDS,A,Physical Oceanography,Océanographie physique,decibar,decibar,,pressure_average_of_drifting_platform,,,,,,,,,,,,,,,,,,,,,,,decibar,,
GF3,AVT$,MEDS,A,Physical Oceanography,Océanographie physique,degree Celsius,degré Celsius,,temperature_average_at_depth,,,,,,,,,,,,,,,,,,,,,,,degree Celsius,,
GF3,B12$,MEDS,A,Chemistry,Chimie,nanogram per litre,nanogramme par litre,,vitamin_b12,,,,,,,,,,,,,,,,,,,,,,,nanogram per litre,,
GF3,B14$,MEDS,A,Instrument characteristics,Caractéristiques de l'instrument,volt,volt,,,,,,,,,,,,,,,,,,,,,,,,,volt,,
GF3,BAC$,MEDS,A,Biological Oceanography,Océanographie biologique,million per litre,million par litre,,bacteria_count,,,,,,,,,,,,,,,,,,,,,,,million per litre,,
GF3,BAC_,"BIO,MEDS",,,,,,,,,,10^6/L,,,TBCCXXXX,Abundance of Bacteria (ITIS: 202421: WoRMS 6) per unit volume of the water body,,,,,,http://vocab.nerc.ac.uk/collection/P01/current/TBCCXXXX/,TBCCXXXX,Abundance of bacteria (ITIS: 202421: WoRMS 6) per unit volume of the water body,SDN:P01::TBCCXXXX,Abundance of bacteria (ITIS: 202421: WoRMS 6) per unit volume of the water body,,,,,,10^6/L,Abundance of bacteria (ITIS: 202421: WoRMS 6) per unit volume of the water body,
GF3,BAND,MEDS,A,Time and frequency,Temps et fréquence,hertz,hertz,,bandwidth_of_spectral_analysis,,,,,,,,,,,,,,,,,,,,,,,hertz,,
GF3,BATH,"BIO,IML,MEDS",A,Geophysics,Géophysique,metre,mètre,,,,,metres,ULAA,metres,BATHDPTH,Sea-floor depth (below mean sea level) {bathymetric depth},,,,,,http://vocab.nerc.ac.uk/collection/P01/current/BATHDPTH/,BATHDPTH,Sea-floor depth (below mean sea level) {bathymetric depth},SDN:P01::BATHDPTH,Sea-floor depth (below mean sea level) {bathymetric depth},http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,ULAA,Metres,SDN:P06::ULAA,Metres,metre,Sea-floor depth (below mean sea level) {bathymetric depth},
GF3,BATT,"BIO,BIO,IML",A,Instrument characteristics,Caractéristiques de l'instrument,volt,volt,,,,,volts,,,,,,,,,,,,,,,,,,,,"volt,volts",,
