Vocabulary,name,Users,MEDS:STATUS,MEDS:CATEGORY_MEANING_E,MEDS:CATEGORY_MEANING_F,MEDS:UNITS_DESCRIPTOR_E,MEDS:UNITS_DESCRIPTOR_F,MEDS:CF_CODE,MEDS:NETCDF_LONG_NAME,MEDS:WMO_CODE_TABLE_ID,MEDS:CONVENTION,BIO:units,BIO:P06 urn,BIO:P06 name,BIO:P01 urn,BIO:P01 name,BIO:CF_CODE,IML:definition,IML:units,long_name,expected_units,scale,standard_name,SDN:P07::id,SDN:P01::id,SDN:P01::urn,SDN:P01::prefLabel,sdn_parameter_urn,sdn_parameter_name,SDN:P06::id,SDN:P06::urn,SDN:P06::prefLabel,sdn_uom_urn,sdn_uom_name,definition,convention,scale_factor,GF3_name,Alternative units,SDN:P01::Alternative Name
GF3,DOC$,MEDS,A,Biological Oceanography,Océanographie biologique,millimole per metre cube,millimole par mètre cube,,,,,,,,,,,,,,millimole per metre cube,,,,,,,,,,,,,,,,,DOC$,,
GF3,DOC_,"BIO,IML,MEDS",,,,,,,,,,mmol/m^3,,,CORGZZZX,Concentration of organic carbon {organic_C CAS 7440-44-0} {DOC} per unit volume of the water body [dissolved plus reactive particulate phase],mole_concentration_of_dissolved_organic_carbon_in_sea_water,,,,mmol/m^3,,mole_concentration_of_dissolved_organic_carbon_in_sea_water,http://vocab.nerc.ac.uk/collection/P07/current/CF14N31/,http://vocab.nerc.ac.uk/collection/P01/current/CORGZZZX/,CORGZZZX,Concentration of organic carbon {organic_C CAS 7440-44-0} {DOC} per unit volume of the water body [dissolved plus reactive particulate phase],SDN:P01::CORGZZZX,Concentration of organic carbon {organic_C CAS 7440-44-0} {DOC} per unit volume of the water body [dissolved plus reactive particulate phase],,,,,,Concentration of organic carbon {organic_C CAS 7440-44-0} {DOC} per unit volume of the water body [dissolved plus reactive particulate phase],,,DOC_,,
GF3,DON$,MEDS,A,Chemistry,Chimie,millimole per metre cube,millimole par mètre cube,,mole_concentration_of_dissolved_nitrogen_in_water,,,,,,,,,,,,millimole per metre cube,,,,,,,,,,,,,,,,,DON$,,
GF3,DON_,"BIO,IML",,,,,,,,,,mmol/m^3,,,NOTOTZZXX,Concentration of total nitrogen {total_N} per unit volume of the water body [dissolved plus reactive particulate phase],mass_concentration_of_organic_nitrogen_in_sea_water,,,,mmol/m^3,,,,,,,,,,,,,,,,,DON_,,
GF3,DOX$,MEDS,A,Biological Oceanography,Océanographie biologique,millilitre per litre,millilitre par litre,,,,,,,,,,,,,,millilitre per litre,,,,,,,,,,,,,,,,,DOX$,,
GF3,DOXY,"BIO,IML,MEDS",A,Biological Oceanography,Océanographie biologique,millilitre per litre,millilitre par litre,,,,,ml/L,UMLL,milliliters per litre,DOXYZZ01,Concentration of oxygen {O2 CAS 7782-44-7} per unit volume of the water body [dissolved plus reactive particulate phase] by in-situ sensor,,,,,ml/L|millilitre per litre|ml/l,,,,http://vocab.nerc.ac.uk/collection/P01/current/DOXYZZ01/,DOXYZZ01,Concentration of oxygen {O2 CAS 7782-44-7} per unit volume of the water body [dissolved plus reactive particulate phase] by in-situ sensor,SDN:P01::DOXYZZ01,Concentration of oxygen {O2 CAS 7782-44-7} per unit volume of the water body [dissolved plus reactive particulate phase] by in-situ sensor,http://vocab.nerc.ac.uk/collection/P06/current/UMLL/,UMLL,Millilitres per litre,SDN:P06::UMLL,Millilitres per litre,Concentration of oxygen {O2 CAS 7782-44-7} per unit volume of the water body [dissolved plus reactive particulate phase] by in-situ sensor,,,DOXY,,
GF3,DPDT,"BIO,IML,MEDS",A,Instrument characteristics,Caractéristiques de l'instrument,metre per second,mètre par seconde,,,,,metres/ second,UVAA,metres per second,,,,,,,metre/second|metre per second|metres/sec,,,,,,,,,http://vocab.nerc.ac.uk/collection/P06/current/UVAA/,UVAA,Metres per second,SDN:P06::UVAA,Metres per second,,,,DPDT,,
GF3,DPI$,MEDS,A,General purpose,Tout usage,text,texte,,name_of_person_deploying_instrument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DPI$,,
GF3,DPO$,MEDS,A,Date and time within day,Date et temps dans une journée,text,texte,,date_of_phosphate_analysis_yyyymmdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DPO$,,
GF3,DPP$,MEDS,A,Instrument characteristics,Caractéristiques de l'instrument,number,nombre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DPP$,,
GF3,DPS$,MEDS,A,Time and frequency,Temps et fréquence,hour,heure,,,,,,,,,,,,,,hour,,,,,,,,,,,,,,,,,DPS$,,
GF3,DPSF,MEDS,A,Position and navigation,Position et navigation,metre,mètre,,depth_below_sea_floor,,,,,,,,,,,,metre,,,,,,,,,,,,,,,,,DPSF,,
GF3,DPT$,MEDS,A,Date and time within day,Date et temps dans une journée,text,texte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DPT$,,
GF3,DRD$,MEDS,A,Date and time within day,Date et temps dans une journée,text,texte,,date_when_drogue_was_lost_hhmm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DRD$,,
GF3,DRDP,"BIO,IML,MEDS",A,Physical Oceanography,Océanographie physique,metre,mètre,,,,,metres,ULAA,metres,,,,,,,metre,,,,,,,,,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,ULAA,Metres,SDN:P06::ULAA,Metres,,,,DRDP,,
GF3,DRHR,MEDS,A,Time and frequency,Temps et fréquence,hour,heure,,duration,,,,,,,,,,,,hour,,,,,,,,,,,,,,,,,DRHR,,
GF3,DRMN,MEDS,A,Time and frequency,Temps et fréquence,minute(time),minute(durée),,duration,,,,,,,,,,,,minute(time),,,,,,,,,,,,,,,,,DRMN,,
GF3,DRSC,MEDS,A,Time and frequency,Temps et fréquence,second,seconde,,duration,,,,,,,,,,,,second,,,,,,,,,,,,,,,,,DRSC,,
GF3,DRT$,MEDS,A,General purpose,Tout usage,code table,table de code,,code_of_drogue_type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DRT$,,
GF3,DRWT,"BIO,MEDS",,,,,,,,,,g,,,,,,,,,g,,,,,,,,,,,,,,,,,DRWT,,
GF3,DRYT,"BIO,IML,MEDS",A,Meteorology,Météorologie,degree Celsius,degré Celsius,,,,,degrees celsuis,UPAA,degrees Celsius,CDTASS01,Temperature of the atmosphere by dry bulb thermometer,,,,,degree Celsius|degree celsuis|degrees C,,,,http://vocab.nerc.ac.uk/collection/P01/current/CDTASS01/,CDTASS01,Temperature of the atmosphere by dry bulb thermometer,SDN:P01::CDTASS01,Temperature of the atmosphere by dry bulb thermometer,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,UPAA,Degrees Celsius,SDN:P06::UPAA,Degrees Celsius,Temperature of the atmosphere by dry bulb thermometer,,,DRYT,,
GF3,DSI$,MEDS,A,General purpose,Tout usage,text,texte,,indicator_of_data_state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DSI$,,
GF3,DSO$,MEDS,A,Date and time within day,Date et temps dans une journée,text,texte,,date_of_silicate_analysis_yyyymmdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DSO$,,
GF3,DSP1,MEDS,A,Wave,Vague,number,nombre,,date_at_end_of_tow_yyyymmdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DSP1,,
GF3,DSP2,MEDS,A,Wave,Vague,number,nombre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DSP2,,
GF3,DT2$,MEDS,A,Date and time within day,Date et temps dans une journée,text,texte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DT2$,,
GF3,DTC$,MEDS,A,Date and time within day,Date et temps dans une journée,text,texte,,date_calibration_yyyymmdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTC$,,
GF3,DTDZ,MEDS,A,Meteorology,Météorologie,degree Celsius per metre,degré Celsius par mètre,,air_temperature_vertical_gradient,,,,,,,,,,,,degree Celsius per metre,,,,,,,,,,,,,,,,,DTDZ,,
GF3,DTE$,MEDS,A,Date and time within day,Date et temps dans une journée,text,texte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTE$,,
GF3,DTH$,MEDS,A,Date and time within day,Date et temps dans une journée,text,texte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTH$,,
GF3,DTL$,MEDS,A,Date and time within day,Date et temps dans une journée,text,texte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTL$,,
GF3,DYNH,"BIO,IML",A,Physical Oceanography,Océanographie physique,metre,mètre,,,,,m,ULAA,metres,,,geopotential_height,,,,m|metre,,geopotential_height,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0628/,,,,,,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,ULAA,Metres,SDN:P06::ULAA,Metres,,,,DYNH,,
GF3,EAG1,MEDS,A,General purpose,Tout usage,text,texte,,name_of_exchange_agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAG1,,
GF3,EAZM,MEDS,A,Position and navigation,Position et navigation,degree(angle),degré(angle),,,,,,,,,,,,,,degree,,,,,,,,,,,,,,,,,EAZM,,
GF3,EDAT,MEDS,A,Chemistry,Chimie,minute(time),minute(durée),,duration_of_cast_minutes,,,,,,,,,,,,minute(time),,,,,,,,,,,,,,,,,EDAT,,
GF3,EEEE,MEDS,A,General purpose,Tout usage,number,nombre,,decimal_exponent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EEEE,,
GF3,EIT$,MEDS,A,Physical Oceanography,Océanographie physique,text,texte,,engine_intake_water_sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EIT$,,
GF3,ELA$,MEDS,A,Position and navigation,Position et navigation,degree(angle),degré(angle),,latitude_error,,,,,,,,,,,,degree,,,,,,,,,,,,,,,,,ELA$,,
GF3,ELAT,MEDS,A,Position and navigation,Position et navigation,degree(angle),degré(angle),,latitude_end_of_cast,,,,,,,,,,,,degree,,,,,,,,,,,,,,,,,ELAT,,
GF3,ELEV,MEDS,A,Position and navigation,Position et navigation,degree(angle),degré(angle),,angle_of_elevation_of_object_from_reference_point,,,,,,,,,,,,degree,,,,,,,,,,,,,,,,,ELEV,,
GF3,ELO$,MEDS,A,Position and navigation,Position et navigation,degree(angle),degré(angle),,longitude_error,,,,,,,,,,,,degree,,,,,,,,,,,,,,,,,ELO$,,
GF3,ELON,MEDS,A,Position and navigation,Position et navigation,degree(angle),degré(angle),,longitude_end_of_cast,,,,,,,,,,,,degree,,,,,,,,,,,,,,,,,ELON,,
GF3,EMAJ,MEDS,A,Position and navigation,Position et navigation,metre,mètre,,,,,,,,,,,,,,metre,,,,,,,,,,,,,,,,,EMAJ,,
GF3,EMIN,MEDS,A,Position and navigation,Position et navigation,metre,mètre,,,,,,,,,,,,,,metre,,,,,,,,,,,,,,,,,EMIN,,
GF3,ERRV,"BIO,IML,MEDS",A,Physical Oceanography,Océanographie physique,metre per second,mètre par seconde,,,,,m/s,UVAA,metres per second,LERRAP01,Current velocity error in the water body by moored acoustic doppler current profiler (ADCP),,,,,m/s|metre per second|M/s,,,,http://vocab.nerc.ac.uk/collection/P01/current/LERRAP01/,LERRAP01,Error velocity of water current in the water body by moored acoustic doppler current profiler (ADCP),SDN:P01::LERRAP01,Error velocity of water current in the water body by moored acoustic doppler current profiler (ADCP),http://vocab.nerc.ac.uk/collection/P06/current/UVAA/,UVAA,Metres per second,SDN:P06::UVAA,Metres per second,Error velocity of water current in the water body by moored acoustic doppler current profiler (ADCP),,,ERRV,,
GF3,ERS$,MEDS,A,Wave,Vague,percent,pourcentage,,,,,,,,,,,,,,percent,,,,,,,,,,,,,,,,,ERS$,,
GF3,EST$,MEDS,A,Physical Oceanography,Océanographie physique,degree Celsius,degré Celsius,,sea_surface_temperature_error,,,,,,,,,,,,degree Celsius,,,,,,,,,,,,,,,,,EST$,,
GF3,ETHR,MEDS,A,Time and frequency,Temps et fréquence,hour,heure,,,,,,,,,,,,,,hour,,,,,,,,,,,,,,,,,ETHR,,
GF3,ETMN,MEDS,A,Time and frequency,Temps et fréquence,minute(time),minute(durée),,,,,,,,,,,,,,minute(time),,,,,,,,,,,,,,,,,ETMN,,
GF3,ETSC,MEDS,A,Time and frequency,Temps et fréquence,second,seconde,,,,,,,,,,,,,,second,,,,,,,,,,,,,,,,,ETSC,,
GF3,EVEL,MEDS,,,,,,,,,,,,,,,,Error Velocity (ADCP). Unit: mm/s,,,,,,,,,,,,,,,,,Error Velocity (ADCP). Unit: mm/s,,,EVEL,,
GF3,EWCM,"BIO,IML,MEDS",A,Physical Oceanography,Océanographie physique,metre per second,mètre par seconde,,,,,m/s,UVAA,metres per second,,,eastward_sea_water_velocity,,,,m/s|metre per second,,eastward_sea_water_velocity,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0650/,,,,,,http://vocab.nerc.ac.uk/collection/P06/current/UVAA/,UVAA,Metres per second,SDN:P06::UVAA,Metres per second,,,,EWCM,,
GF3,EWCS,MEDS,,,,,,,,,,,,,,,,East (true) Component of Current (mm/s),mm/s,,mm/s,,,,,,,,,,,,,,East (true) Component of Current (mm/s),,,EWCS,,
GF3,EWCT,"BIO,IML,MEDS",A,Physical Oceanography,Océanographie physique,metre per second,mètre par seconde,,,,,m/s,UVAA,metres per second,LCEWZZ01,Eastward current velocity in the water body,eastward_sea_water_velocity,,,,m/s|metre per second|M/s,,eastward_sea_water_velocity,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0650/,http://vocab.nerc.ac.uk/collection/P01/current/LCEWZZ01/,LCEWZZ01,Eastward velocity of water current in the water body,SDN:P01::LCEWZZ01,Eastward velocity of water current in the water body,http://vocab.nerc.ac.uk/collection/P06/current/UVAA/,UVAA,Metres per second,SDN:P06::UVAA,Metres per second,Eastward velocity of water current in the water body,,,EWCT,,
GF3,EXP$,MEDS,A,General purpose,Tout usage,text,texte,,numer_of_experiment_by_originator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXP$,,
GF3,F11$,MEDS,A,Chemistry,Chimie,picomole per kilogram,picomole par kilogramme,,mole_concentration_of_CFC11,,,,,,,,,,,,picomole per kilogram,,,,,,,,,,,,,,,,,F11$,,
GF3,F12$,MEDS,A,Chemistry,Chimie,picomole per kilogram,picomole par kilogramme,,mole_concentration_of_CFC12,,,,,,,,,,,,picomole per kilogram,,,,,,,,,,,,,,,,,F12$,,
GF3,FD1$,MEDS,A,Chemistry,Chimie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FD1$,,
GF3,FD2$,MEDS,A,Chemistry,Chimie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FD2$,,
GF3,FDO$,MEDS,A,Chemistry,Chimie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FDO$,,
GF3,FDT$,MEDS,A,Chemistry,Chimie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FDT$,,
GF3,FFFF,"BIO,IML,MEDS",A,General purpose,Tout usage,code table,table de code,,,,,code,,,,,,,,,,,,,,,,,,,,,,,,,,FFFF,,
GF3,FIXF,MEDS,A,Position and navigation,Position et navigation,code table,table de code,,flag_prime_nagivation_aid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIXF,,
GF3,FLO1,MEDS,A,Chemistry,Chimie,milligram per litre,milligramme par litre,,mass_concentration_of_fluoride_in_water,,,,,,,,,,,,milligram per litre,,,,,,,,,,,,,,,,,FLO1,,
GF3,FLOR,"BIO,IML,MEDS",A,Biological Oceanography,Océanographie biologique,milligram per metre cube,milligramme par mètre cube,,,,,mg/ m^3,,,,,,,,,mg/m^3|milligram per metre cube|ug/L|ug/l,,,,,,,,,,,,,,,,,FLOR,,
GF3,FLORSDEV,"BIO,MEDS",,,,,,,,,,mg/m^3,,,,,,,,,mg/m^3,,,,,,,,,,,,,,,,,FLORSDEV,,
GF3,FLU$,MEDS,A,Chemistry,Chimie,percent,pourcentage,,fluorescence_in_water_as_percent,,,,,,,,,,,,percent,,,,,,,,,,,,,,,,,FLU$,,
GF3,FLU1,MEDS,A,Chemistry,Chimie,milligram per metre cube,milligramme par mètre cube,mass_concentration_of_chlorophyll_in_sea_water,mass_concentration_of_chlorophyll_a_in_water_by_fluorometer,,,,,,,,,,,,milligram per metre cube,,,,,,,,,,,,,,,,,FLU1,,
GF3,FLU2,MEDS,A,Chemistry,Chimie,volt,volt,,fluorescence_in_water_measured_in_volts,,,,,,,,,,,,V|volt,,,,,,,,,,,,,,,,,FLU2,,
GF3,FLUD,MEDS,A,Chemistry,Chimie,milligram per metre cube,milligramme par mètre cube,,fluorescence_of_carbon_dissolved_organic_matter_in_water,,,,,,,,,,,,milligram per metre cube,,,,,,,,,,,,,,,,,FLUD,,
GF3,FLU_,"BIO,IML,MEDS",,,,,,,,,,%,,,,,,,,,percent,,,,,,,,,,,,,,,,,FLU_,,
GF3,FM1$,MEDS,A,Chemistry,Chimie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM1$,,
GF3,FM2$,MEDS,A,Chemistry,Chimie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM2$,,
GF3,FMO$,MEDS,A,Chemistry,Chimie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FMO$,,
GF3,FMT$,MEDS,A,Chemistry,Chimie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FMT$,,
GF3,FRE$,MEDS,I,Special IGOSS Indicator,Indicateur spécial IGOSS,code table,table de code,,equation_fall_rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FRE$,,
GF3,FREQ,MEDS,A,Time and frequency,Temps et fréquence,hertz,hertz,wave_frequency,,,,,,,,,,,,,hertz,,wave_frequency,http://vocab.nerc.ac.uk/collection/P07/current/CFV8NS6/,,,,,,,,,,,,,,FREQ,,
GF3,FRQ1,MEDS,A,Wave,Vague,hertz,hertz,,,,,,,,,,,,,,hertz,,,,,,,,,,,,,,,,,FRQ1,,
GF3,FRQ2,MEDS,A,Wave,Vague,hertz,hertz,,,,,,,,,,,,,,hertz,,,,,,,,,,,,,,,,,FRQ2,,
GF3,FUCX,BIO,A,Biological Oceanography,Océanographie biologique,milligram per metre cube,milligramme par mètre cube,,,,,,,,,,,,,,milligram per metre cube,,,,,,,,,,,,,,,,,FUCX,,
GF3,GBGA,MEDS,A,Geophysics,Géophysique,milligal,milligal,,Bouger_gravity_anomaly,,,,,,,,,,,,milligal,,,,,,,,,,,,,,,,,GBGA,,
GF3,GCO#,MEDS,A,General purpose,Tout usage,text,texte,,cruise_number_originator_NODC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GCO#,,
GF3,GDIR,"BIO,IML,MEDS",A,Meteorology,Météorologie,degree(angle),degré(angle),,,,,degrees,UAAA,degrees,EGTDZZ01,Direction from of wind (gust) relative to True North {wind direction} in the atmosphere,wind_gust_from_direction,,,,degree,,wind_gust_from_direction,http://vocab.nerc.ac.uk/collection/P07/current/LIZMDSCX/,http://vocab.nerc.ac.uk/collection/P01/current/EGTDZZ01/,EGTDZZ01,Direction (from) of wind (gust) relative to True North {wind direction} in the atmosphere,SDN:P01::EGTDZZ01,Direction (from) of wind (gust) relative to True North {wind direction} in the atmosphere,http://vocab.nerc.ac.uk/collection/P06/current/UAAA/,UAAA,Degrees,SDN:P06::UAAA,Degrees,Direction (from) of wind (gust) relative to True North {wind direction} in the atmosphere,,,GDIR,,
GF3,GE1$,MEDS,A,Special IGOSS Indicator,Indicateur spécial IGOSS,code table,table de code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GE1$,,
GF3,GE2$,MEDS,A,Special IGOSS Indicator,Indicateur spécial IGOSS,code table,table de code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GE2$,,
GF3,GE3$,MEDS,A,Special IGOSS Indicator,Indicateur spécial IGOSS,code table,table de code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GE3$,,
GF3,GEAR,"BIO,MEDS",,,,,,,,,,none,,,,,,,,,none,,,,,,,,,,,,,,,,,GEAR,,
GF3,GEOP,"BIO,IML",A,Physical Oceanography,Océanographie physique,dimensionless,sans dimension,,,,,,,,,,geopotential,,,,dimensionless,,geopotential,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0627/,,,,,,,,,,,,,,GEOP,,
GF3,GEOT,MEDS,A,Geophysics,Géophysique,milligal,milligal,,geopotential,,,,,,,,,,,,milligal,,,,,,,,,,,,,,,,,GEOT,,
GF3,GFAA,MEDS,A,Geophysics,Géophysique,milligal,milligal,,gravity_anomaly_free_air,,,,,,,,,,,,milligal,,,,,,,,,,,,,,,,,GFAA,,
GF3,GG1$,MEDS,A,Special IGOSS Indicator,Indicateur spécial IGOSS,text,texte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GG1$,,
GF3,GG2$,MEDS,A,Special IGOSS Indicator,Indicateur spécial IGOSS,text,texte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GG2$,,
GF3,GG3$,MEDS,A,Special IGOSS Indicator,Indicateur spécial IGOSS,text,texte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GG3$,,
GF3,GGC$,MEDS,A,Special IGOSS Indicator,Indicateur spécial IGOSS,text,texte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GGC$,,
GF3,GGCD,MEDS,A,Position and navigation,Position et navigation,code table,table de code,,period_of_current_measurement_or_drift,2265,,,,,,,,,,,,,,,,,,,,,,,,,,,,GGCD,,
GF3,GGCM,MEDS,A,Position and navigation,Position et navigation,code table,table de code,,indicator_method_of_current_measurement,2266,,,,,,,,,,,,,,,,,,,,,,,,,,,,GGCM,,
GF3,GGDI,MEDS,A,Position and navigation,Position et navigation,code table,table de code,,indicator_for_method_of_digitization,2262,,,,,,,,,,,,,,,,,,,,,,,,,,,,GGDI,,
GF3,GGEC,MEDS,A,Position and navigation,Position et navigation,code table,table de code,,duration_and_time_of_eulerian_current_measurement,2264,,,,,,,,,,,,,,,,,,,,,,,,,,,,GGEC,,
GF3,GGI$,MEDS,A,Special IGOSS Indicator,Indicateur spécial IGOSS,text,texte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GGI$,,
GF3,GGIN,MEDS,A,Position and navigation,Position et navigation,code table,table de code,,indicator_BATHY_TESAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GGIN,,
GF3,GGK6,MEDS,A,Special IGOSS Indicator,Indicateur spécial IGOSS,code table,table de code,,method_for_removing_ship_velocity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GGK6,,
GF3,GGLC,MEDS,A,Position and navigation,Position et navigation,code table,table de code,,quality_of_location,3311,,,,,,,,,,,,,,,,,,,,,,,,,,,,GGLC,,
GF3,GGMS,MEDS,A,Position and navigation,Position et navigation,code table,table de code,,identifier_of_message,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GGMS,,
GF3,GGQF,MEDS,A,General purpose,Tout usage,text,texte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GGQF,,
GF3,GGSL,MEDS,A,Position and navigation,Position et navigation,code table,table de code,,method_of_salinity/depth_measurement,2263,,,,,,,,,,,,,,,,,,,,,,,,,,,,GGSL,,
GF3,GGST,MEDS,A,Position and navigation,Position et navigation,code table,table de code,,,1853,,,,,,,,,,,,,,,,,,,,,,,,,,,,GGST,,
GF3,GGWI,MEDS,A,Position and navigation,Position et navigation,code table,table de code,,indicator_for_wind_speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GGWI,,
GF3,GIN$,MEDS,A,Special IGOSS Indicator,Indicateur spécial IGOSS,text,texte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GIN$,,
GF3,GNC#,MEDS,A,General purpose,Tout usage,code table,table de code,,cruise_code_NODC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GNC#,,
GF3,GNCR,MEDS,A,General purpose,Tout usage,text,texte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GNCR,,
GF3,GPA$,MEDS,A,Physical Oceanography,Océanographie physique,dyne metre,dyne mètre,geopotential_height_anomaly,,,,,,,,,,,,,dyne metre,,geopotential_height_anomaly,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0629/,,,,,,,,,,,,,,GPA$,,
GF3,GPT$,MEDS,A,Meteorology,Météorologie,code table,table de code,,code_pressure_tendency,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,GPT$,,
GF3,GRAV,MEDS,A,Geophysics,Géophysique,milligal,milligal,,gravity_observed,,,,,,,,,,,,milligal,,,,,,,,,,,,,,,,,GRAV,,
GF3,GSPD,"BIO,IML,MEDS",A,Meteorology,Météorologie,metre per second,mètre par seconde,,,,,m/s,UVAA,metres per second,EGTSZZ01,Speed of wind (gust) {wind speed} in the atmosphere,wind_speed_of_gust,,,,m/s|metre per second,,wind_speed_of_gust,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0039/,http://vocab.nerc.ac.uk/collection/P01/current/EGTSZZ01/,EGTSZZ01,Speed of wind (gust) {wind speed} in the atmosphere,SDN:P01::EGTSZZ01,Speed of wind (gust) {wind speed} in the atmosphere,http://vocab.nerc.ac.uk/collection/P06/current/UVAA/,UVAA,Metres per second,SDN:P06::UVAA,Metres per second,Speed of wind (gust) {wind speed} in the atmosphere,,,GSPD,,
GF3,H00$,MEDS,A,Water Level,Niveau d'eau,metre,mètre,,,,,,,,,,,,,,metre,,,,,,,,,,,,,,,,,H00$,,
GF3,H15$,MEDS,A,Water Level,Niveau d'eau,metre,mètre,,,,,,,,,,,,,,metre,,,,,,,,,,,,,,,,,H15$,,
GF3,H30$,MEDS,A,Water Level,Niveau d'eau,metre,mètre,,,,,,,,,,,,,,metre,,,,,,,,,,,,,,,,,H30$,,
GF3,H45$,MEDS,A,Water Level,Niveau d'eau,metre,mètre,,,,,,,,,,,,,,metre,,,,,,,,,,,,,,,,,H45$,,
GF3,H60$,MEDS,A,Water Level,Niveau d'eau,metre,mètre,,,,,,,,,,,,,,metre,,,,,,,,,,,,,,,,,H60$,,
GF3,HAT$,MEDS,A,Physical Oceanography,Océanographie physique,degree Celsius,degré Celsius,,temperature_of_water_from_high_accuracy_sensor,,,,,,,,,,,,degree Celsius,,,,,,,,,,,,,,,,,HAT$,,
GF3,HCDM,"BIO,IML,MEDS",A,Physical Oceanography,Océanographie physique,degree(angle),degré(angle),,,,,degrees,UAAA,degrees,LCDAZZ01,Current direction in the water body,,,,,degree|degrees,,,,http://vocab.nerc.ac.uk/collection/P01/current/LCDAZZ01/,LCDAZZ01,Direction (towards) of water current in the water body,SDN:P01::LCDAZZ01,Direction (towards) of water current in the water body,http://vocab.nerc.ac.uk/collection/P06/current/UAAA/,UAAA,Degrees,SDN:P06::UAAA,Degrees,Direction (towards) of water current in the water body,,,HCDM,,
GF3,HCDT,"BIO,IML,MEDS",A,Physical Oceanography,Océanographie physique,degree(angle),degré(angle),,,,,degrees,UAAA,degrees,,,,,,,degree,,,,,,,,,http://vocab.nerc.ac.uk/collection/P06/current/UAAA/,UAAA,Degrees,SDN:P06::UAAA,Degrees,,,,HCDT,,
GF3,HCSP,"BIO,IML,MEDS",A,Physical Oceanography,Océanographie physique,metre per second,mètre par seconde,,,,,m/s,UVAA,metres per second,LCSAZZ01,Current speed (Eulerian) in the water body,barotropic_sea_water_x_velocity,,,,m/s|metre per second,,barotropic_sea_water_x_velocity,http://vocab.nerc.ac.uk/collection/P07/current/CF12N188/,http://vocab.nerc.ac.uk/collection/P01/current/LCSAZZ01/,LCSAZZ01,Speed of water current (Eulerian measurement) in the water body,SDN:P01::LCSAZZ01,Speed of water current (Eulerian measurement) in the water body,http://vocab.nerc.ac.uk/collection/P06/current/UVAA/,UVAA,Metres per second,SDN:P06::UVAA,Metres per second,Speed of water current (Eulerian measurement) in the water body,,,HCSP,,
