Vocabulary,name,Users,accepted_units,accepted_scale,accepted_instruments,calibration_review,apply_function,variable_name,long_name,units,instrument,scale,standard_name,sdn_parameter_urn,sdn_parameter_name,sdn_uom_urn,sdn_uom_name,definition,convention,legacy_gf3_code,SDN:P01::Alternative Name,comments,coverage_content_type,ioos_category,seabird_term
BIO,FLOR,"BIO,IML,MEDS",mg/m^3|mg/m**3|milligram per metre cube|ug/L|ug/l|none,,^FS_,,,CPHLPR01,"Fluorescence, SeaTech",mg/m^3,Seapoint Chlorophyll Fluorometer,,mass_concentration_of_chlorophyll_in_sea_water,SDN:P01::CPHLPR01,Concentration of chlorophyll-a {chl-a CAS 479-61-8} per unit volume of the water body [particulate >unknown phase] by in-situ chlorophyll fluorometer,SDN:P06::UMMC,Milligrams per cubic metre,,,FLOR,chl-a_water_ISfluor,,physicalMeasurement,Other,
BIO,FLOR,"BIO,IML,MEDS",mg/m^3|mg/m**3|milligram per metre cube|ug/L|ug/l|none,,^FSP_,,,CPHLPR01,"Fluorescence, Seapoint",mg/m^3,Seapoint Chlorophyll Fluorometer,,mass_concentration_of_chlorophyll_in_sea_water,SDN:P01::CPHLPR01,Concentration of chlorophyll-a {chl-a CAS 479-61-8} per unit volume of the water body [particulate >unknown phase] by in-situ chlorophyll fluorometer,SDN:P06::UMMC,Milligrams per cubic metre,,,FLOR,chl-a_water_ISfluor,,physicalMeasurement,Other,
BIO,FLOR,"BIO,IML,MEDS",mg/m^3|mg/m**3|milligram per metre cube|ug/L|ug/l|none,,^FCMINI,,,CPHLPR01,"Fluorescence, Seapoint",mg/m^3,Chelsea Mini Chl Con,,mass_concentration_of_chlorophyll_in_sea_water,SDN:P01::CPHLPR01,Concentration of chlorophyll-a {chl-a CAS 479-61-8} per unit volume of the water body [particulate >unknown phase] by in-situ chlorophyll fluorometer,SDN:P06::UMMC,Milligrams per cubic metre,,,FLOR,chl-a_water_ISfluor,,physicalMeasurement,Other,
BIO,FLOR,"BIO,IML,MEDS",mg/m^3|mg/m**3|milligram per metre cube|ug/L|ug/l|none,,^FSPUV_,,,CDOMZZ01,"Fluorescence, Seapoint Ultraviolet",mg/m^3,Seapoint Ultraviolet Fluorometer,,concentration_of_colored_dissolved_organic_matter_in_sea_water_expressed_as_equivalent_mass_fraction_of_quinine_sulfate_dihydrate,SDN:P01::CDOMZZ01,Concentration of coloured dissolved organic matter {CDOM Gelbstoff} per unit volume of the water body [dissolved plus reactive particulate phase] by fluorometry,SDN:P06::UMMC,Milligrams per cubic metre,,,FLOR,CDOM_fluor,,physicalMeasurement,Colored Dissolved Organic Matter,"Fluorometer, Seapoint Ultraviolet"
BIO,FLOR,"BIO,IML,MEDS",mg/m^3|mg/m**3|milligram per metre cube|ug/L|ug/l|none,,^FWETLABS_|^FWGREEN,,,CPHLPR01,"Fluorescence, WET Labs",mg/m^3,WETLabs WETStar fluorometer,,mass_concentration_of_chlorophyll_in_sea_water,SDN:P01::CPHLPR01,Concentration of chlorophyll-a {chl-a CAS 479-61-8} per unit volume of the water body [particulate >unknown phase] by in-situ chlorophyll fluorometer,SDN:P06::UMMC,Milligrams per cubic metre,,,FLOR,chl-a_water_ISfluor,,physicalMeasurement,Other,
BIO,FLOR,"BIO,IML,MEDS",mg/m^3|mg/m**3|milligram per metre cube|ug/L|ug/l|none,,^WETCDOM_,,,CDOMZZ01,Concentration of coloured dissolved organic matter {CDOM Gelbstoff} per unit volume of the water body [dissolved plus reactive particulate phase] by fluorometry,mg/m^3,WETLabs CDOM fluorometer,,concentration_of_colored_dissolved_organic_matter_in_sea_water_expressed_as_equivalent_mass_fraction_of_quinine_sulfate_dihydrate,SDN:P01::CDOMZZ01,Concentration of coloured dissolved organic matter {CDOM Gelbstoff} per unit volume of the water body [dissolved plus reactive particulate phase] by fluorometry,SDN:P06::UMMC,Milligrams per cubic metre,,,FLOR,CDOM_fluor,,physicalMeasurement,Colored Dissolved Organic Matter,"Fluorescence, WET Labs CDOM"
BIO,FLOR,"BIO,IML,MEDS",mg/m^3|mg/m**3|milligram per metre cube|ug/L|ug/l|none,,fluoresdence|fluo|Flourescence|^FLOR(_|$),,,CPHLPR01,Concentration of chlorophyll-a {chl-a CAS 479-61-8} per unit volume of the water body [particulate >unknown phase] by in-situ chlorophyll fluorometer,mg/m^3,,,mass_concentration_of_chlorophyll_in_sea_water,SDN:P01::CPHLPR01,Concentration of chlorophyll-a {chl-a CAS 479-61-8} per unit volume of the water body [particulate >unknown phase] by in-situ chlorophyll fluorometer,SDN:P06::UMMC,Milligrams per cubic metre,,,FLOR,chl-a_water_ISfluor,,physicalMeasurement,Other,
BIO,IDEN,"BIO,IML,MEDS",none,,scan number|sample number,,,ScanNumber,Scan Number,1,,,,,,SDN:P06::UUUU,Dimensionless,,,IDEN,,,auxiliaryInformation,Other,
BIO,PSAR,"BIO,IML,MEDS",ueinsteins/s/m^2|micromole per metre square per second|micromoles/m^2/sec|umol photons/m2/s|none,,,,,IRRDUV01,Photosynthetically Active Radiation,uEinsteins/s/m^2,,,downwelling_photosynthetic_photon_spherical_irradiance_in_sea_water,SDN:P01::IRRDUV01,Downwelling vector irradiance as photons of electromagnetic radiation (PAR wavelengths) in the water body by cosine-collector radiometer,SDN:P06::UMES,MicroEinsteins per square metre per second,,,PSAR,SubsurVPAR,,physicalMeasurement,Optical Properties,
BIO,SPAR,"BIO,MEDS","ueinsteins/s/m^2|umol photons/m2/s|umol photons/m2/s, logarithmic|none",,,,,IRRDSV01,Surface Photosynthetically Active Radiation,uEinsteins/s/m^2,,,surface_downwelling_photosynthetic_photon_spherical_irradiance_in_sea_water,SDN:P01::IRRDSV01,Downwelling vector irradiance as photons of electromagnetic radiation (PAR wavelengths) in the atmosphere by cosine-collector radiometer,SDN:P06::UMES,MicroEinsteins per square metre per second,,,SPAR,SurfVPAR,,physicalMeasurement,Optical Properties,
BIO,UNKN,,1/m,,CStarAt0,,,ATTNZS01,Attenuation (red light wavelength) per unit length of the water body by transmissometer,1/m,WETLabs C-Star transmissometer,,,SDN:P01::ATTNZR01,Attenuation (red light wavelength) per unit length of the water body by transmissometer,SDN:P06::UPRM,per metre,,,ATBE,Atten_red,,physicalMeasurement,Optical Properties,
BIO,UNKN,,%,,CStarTr0,,,OPTCPS01,Transmittance (red light wavelength) per unit length of the water body,%,WET Labs C-Star,,,SDN:P01::OPTCPS01,Transmittance (red light wavelength) per unit length of the water body,SDN:P06::UPCT,Percent,,,TRAN,TransmRedLight,,physicalMeasurement,Optical Properties,
BIO,UNKN,,none,,oxsatML/L,,,DOconc_at_sat,Oxygen Concentration at Saturation,mL/L,,,,,,,,,,,,,,Other,
BIO,UNKN,,umol photons/m2/s,,par/log,,,IRRDUV01,Photosynthetically Active Radiation,uEinsteins/s/m^2,,,downwelling_photosynthetic_photon_spherical_irradiance_in_sea_water,SDN:P01::IRRDUV01,Downwelling vector irradiance as photons of electromagnetic radiation (PAR wavelengths) in the water body by cosine-collector radiometer,SDN:P06::UMES,MicroEinsteins per square metre per second,,,PSAR,SubsurVPAR,,physicalMeasurement,Optical Properties,
BIO,UNKN,,none,,par|PSAR_01,,,IRRDUV01,Photosynthetically Active Radiation,uEinsteins/s/m^2,,,downwelling_photosynthetic_photon_spherical_irradiance_in_sea_water,SDN:P01::IRRDUV01,Downwelling vector irradiance as photons of electromagnetic radiation (PAR wavelengths) in the water body by cosine-collector radiometer,SDN:P06::UMES,MicroEinsteins per square metre per second,,,PSAR,SubsurVPAR,,physicalMeasurement,Optical Properties,
BIO,UNKN,"BIO,MEDS",none,,spar,,,IRRDSV01,Surface Photosynthetically Active Radiation,uEinsteins/s/m^2,,,surface_downwelling_photosynthetic_photon_spherical_irradiance_in_sea_water,SDN:P01::IRRDSV01,Downwelling vector irradiance as photons of electromagnetic radiation (PAR wavelengths) in the atmosphere by cosine-collector radiometer,SDN:P06::UMES,MicroEinsteins per square metre per second,,,SPAR,SurfVPAR,,physicalMeasurement,Optical Properties,
BIO,UNKN,BIO,m^-1/sr,,turbWETbb0,,,VSCTXX01,Turbidity of water in the water body,m^-1/sr,,,volume_scattering_function_of_radiative_flux_in_sea_water,SDN:P01::VSCTXXXX,Volume scattering of light (unspecified wavelengths) by the water body,SDN:P06::PMSR,per metre per steradian,Turbidity of water in the water body,,TURW,Light_scattering,,physicalMeasurement,Total Suspended Matter,
BIO,UNKN,"BIO,IML,MEDS",none,,wetStar|Flor,,,CPHLPR01,"Fluorescence, WET Labs",mg/m^3,WETLabs WETStar fluorometer,,mass_concentration_of_chlorophyll_in_sea_water,SDN:P01::CPHLPR01,Concentration of chlorophyll-a {chl-a CAS 479-61-8} per unit volume of the water body [particulate >unknown phase] by in-situ chlorophyll fluorometer,SDN:P06::UMMC,Milligrams per cubic metre,,,FLOR,chl-a_water_ISfluor,,physicalMeasurement,Other,
BIO,UNKN,"BIO,IML,MEDS",none,,FS_,,,CPHLPR01,"Fluorescence, Sea Tech",mg/m^3,,,mass_concentration_of_chlorophyll_in_sea_water,SDN:P01::CPHLPR01,Concentration of chlorophyll-a {chl-a CAS 479-61-8} per unit volume of the water body [particulate >unknown phase] by in-situ chlorophyll fluorometer,SDN:P06::UMMC,Milligrams per cubic metre,,,FLOR,chl-a_water_ISfluor,,physicalMeasurement,Other,
BIO,UNKN,,none,,upoly\d+,,,,,,,,,,,,,,,,,,physicalMeasurement,Other,
BIO,UNKN,"BIO,IML,MEDS",none,,oxMm/kg,,,DOXMZZ01,Concentration of oxygen {O2 CAS 7782-44-7} per unit mass of the water body [dissolved plus reactive particulate phase],umol/kg,,,moles_of_oxygen_per_unit_mass_in_sea_water,SDN:P01::DOXMZZ01,Concentration of oxygen {O2 CAS 7782-44-7} per unit mass of the water body [dissolved plus reactive particulate phase],SDN:P06::KGUM,Micromoles per kilogram,Concentration of oxygen {O2 CAS 7782-44-7} per unit volume of the water body [dissolved plus reactive particulate phase] by in-situ sensor,,DOXY,DissO2_Mass,,physicalMeasurement,Dissolved O2,
BIO,UNKN,,none,,SEATM|SeaTurbMtr,,,TURBFTUXX,Turbidity of water in the water body,FTU,,,sea_water_turbidity,SDN:P01::TURBXXXX,Turbidity of water in the water body,SDN:P06::UFNU,Formazin Nephelometric Units,Turbidity of water in the water body,,TURB,Turbidity,,physicalMeasurement,Total Suspended Matter,
BIO,UNKN,,none,,oxTC,,,OXYTAAOP,Temperature of oxygen determination by optode,degree_celsius,Beckman/YSI,,temperature_of_sensor_for_oxygen_in_sea_water,SDN:P01::OXYTAAOP,Temperature of oxygen determination by optode,SDN:P06::UPAA,Degrees Celsius,,,,O2_temp,,physicalMeasurement,Temperature,
BIO,OBKS,,none,,SEATM,,,TURBFTUXX,Turbidity of water in the water body,FTU,,,sea_water_turbidity,SDN:P01::TURBXXXX,Turbidity of water in the water body,SDN:P06::UFNU,Formazin Nephelometric Units,Turbidity of water in the water body,,TURB,Turbidity,,physicalMeasurement,Total Suspended Matter,
BIO,UNKN,"BIO,IML,MEDS",none|kg/m^3,,sigma-t00|Sigma-T,,,SIGTEQSTXX,Sigma-T of the water body by computation from salinity and temperature using UNESCO algorithm,kg/m^3,,,sea_water_sigma_t,SDN:P01::SIGTEQST,Sigma-T of the water body by computation from salinity and temperature using UNESCO algorithm,SDN:P06::UKMC,Kilograms per cubic metre,Sigma-T of the water body by computation from salinity and temperature using UNESCO algorithm,,SIGT,Sigma-T,,physicalMeasurement,Other,
BIO,UNKN,"BIO,MEDS",none,,^alt$|ALT_01,,,AHSFZZ01,Height (spatial coordinate) relative to bed surface in the water body,m,,,height_above_sea_floor,SDN:P01::AHSFZZ01,Height (spatial coordinate) relative to bed surface in the water body,SDN:P06::ULAA,Metres,,,ALTB,HeightAboveBed,,coordinate,Location,Altimeter
BIO,TRAN,,%,,xmiss|Light Transmission,,,OPTCPS01,Transmittance (red light wavelength) per unit length of the water body,%,,,,SDN:P01::OPTCPS01,Transmittance (red light wavelength) per unit length of the water body,SDN:P06::UPCT,Percent,,,TRAN,TransmRedLight,,physicalMeasurement,Optical Properties,
BIO,UNKN,,%,,xmiss,,,OPTCPS01,Transmittance (red light wavelength) per unit length of the water body,%,,,,SDN:P01::OPTCPS01,Transmittance (red light wavelength) per unit length of the water body,SDN:P06::UPCT,Percent,,,TRAN,TransmRedLight,,physicalMeasurement,Optical Properties,
BIO,UNKN,BIO,VDC|volts|none,,SBEOXY Voltage|Oxygen Voltage (pri|sec)|AMT DO (volts),,,OXYOCPVLXX,Raw signal (voltage) of instrument output by oxygen sensor,volts,,,,SDN:P01::OXYOCPVL,Raw signal (voltage) of instrument output by oxygen sensor,SDN:P06::UVLT,Volts,Raw signal (voltage) of instrument output by oxygen sensor,,OXYV,Oxy_output_V,,physicalMeasurement,Other,
BIO,NONE,,none|(none),,par,,,IRRDUV01,Photosynthetically Active Radiation,uEinsteins/s/m^2,,,downwelling_photosynthetic_photon_spherical_irradiance_in_sea_water,SDN:P01::IRRDUV01,Downwelling vector irradiance as photons of electromagnetic radiation (PAR wavelengths) in the water body by cosine-collector radiometer,SDN:P06::UMES,MicroEinsteins per square metre per second,,,PSAR,SubsurVPAR,,physicalMeasurement,Optical Properties,
BIO,NONE,,none,,NONE,,,,,,,,,,,,,,,NONE,,,,,
GF3,UNKN,BIO,FTU|Formazine Turbidity Unit |none,,SeaTurbMtr,,,TURBFTUXX,Turbidity of water in the water body,FTU,,,sea_water_turbidity,SDN:P01::TURBXXXX,Turbidity of water in the water body,SDN:P06::UFNU,Formazin Nephelometric Units,Turbidity of water in the water body,,TURB,Turbidity,,physicalMeasurement,Total Suspended Matter,
GF3,ALKW,IML,umol/kg,,bottle|sample,,,ALKYZZXX,Total alkalinity per unit volume of the water body,umol/kg,bottle,,sea_water_alkalinity_expressed_as_mole_equivalent,SDN:P01::ALKYZZXX,Total alkalinity per unit volume of the water body,SDN:P06::KGUM,Micromoles per kilogram,,,ALKW,TotAlk,,physicalMeasurement,Other,
GF3,ALTB,"BIO,MEDS",m|metre|metres,,,,,AHSFZZ01,Height (spatial coordinate) relative to bed surface in the water body,m,,,height_above_sea_floor,SDN:P01::AHSFZZ01,Height (spatial coordinate) relative to bed surface in the water body,SDN:P06::ULAA,Metres,,,ALTB,HeightAboveBed,,coordinate,Location,Altimeter
GF3,AMON,"BIO,IML,MEDS",mmol/m^3|millimole per metre cube,,bottle,,,AMONZZXX,Concentration of ammonium {NH4+ CAS 14798-03-9} per unit volume of the water body [unknown phase],mmol/m^3,bottle,,,SDN:P01::AMONZZXX,Concentration of ammonium {NH4+ CAS 14798-03-9} per unit volume of the water body [unknown phase],SDN:P06::MMCM,Millimoles per cubic metre,,,AMON,NH4,,physicalMeasurement,Other,
GF3,CDOM,"BIO,MEDS",mg/m^3,,,,,CDOMZZ01,Concentration of coloured dissolved organic matter {CDOM Gelbstoff} per unit volume of the water body [dissolved plus reactive particulate phase] by fluorometry,mg/m^3,,,concentration_of_colored_dissolved_organic_matter_in_sea_water_expressed_as_equivalent_mass_fraction_of_quinine_sulfate_dihydrate,SDN:P01::CDOMZZ01,Concentration of coloured dissolved organic matter {CDOM Gelbstoff} per unit volume of the water body [dissolved plus reactive particulate phase] by fluorometry,SDN:P06::UMMC,Milligrams per cubic metre,Concentration of coloured dissolved organic matter {CDOM Gelbstoff} per unit volume of the water body [dissolved plus reactive particulate phase] by fluorometry,,CDOM,CDOM_fluor,,physicalMeasurement,Other,
GF3,CNDC,,S/m|mhos/m|siemens/m,,CTD|STD|GUILDLINE|GUILDLN\.*|SBE\s*19|SBE\s*9|SBE\s*37|SBE\s*25|Microcat|Maestro|Concerto|XR\-*620|XR\-*420,,,CNDCST01,Electrical Conductivity ,S/m,,,sea_water_electrical_conductivity,SDN:P01::CNDCST01,Electrical conductivity of the water body by CTD,SDN:P06::UECA,Siemens per metre,,,CNDC,CTDCond,,,,Conductivity
GF3,CNTR,"BIO,IML,MEDS",none,,,,,ScanNumber,Scan Number,1,,,,,,SDN:P06::UUUU,Dimensionless,,,CNTR,,,auxiliaryInformation,Other,
GF3,CPHL,"BIO,IML,MEDS",milligram per metre cube|mg/m^3,,,,,CPHLZZXX,Concentration of chlorophyll-a {chl-a CAS 479-61-8} per unit volume of the water body [particulate >unknown phase],milligram per metre cube,,,mass_concentration_of_chlorophyll_a_in_sea_water,SDN:P01::CPHLZZXX,Concentration of chlorophyll-a {chl-a CAS 479-61-8} per unit volume of the water body [particulate >unknown phase],SDN:P06::UMMC,Milligrams per cubic metre,Concentration of chlorophyll-a {chl-a CAS 479-61-8} per unit volume of the water body [particulate >unknown phase],,CPHL,Chlorophyll-a,,physicalMeasurement,Other,
GF3,CRAT,"BIO,IML,MEDS",dimensionless,,,,,CRAT_XX,Conductivity Ratio,1,,,,,,SDN:P06::UUUU,Dimensionless,,,CRAT,,,physicalMeasurement,Other,Conductivity
GF3,DENS,"BIO,IML,MEDS",kilogram per metre cube|kg/m^3,,,,,DENSWB01,Density of the water body by gravimetry,kilogram per metre cube,,,sea_water_density,SDN:P01::DENSWB01,Density of the water body by gravimetry,SDN:P06::UKMC,Kilograms per cubic metre,Density of the water body by gravimetry,,DENS,WaterDens,,physicalMeasurement,Other,
GF3,DEPH,"BIO,IML,MEDS",metre|metres,,,,,depth,Depth (spatial coordinate) relative to water surface in the water body,meters,,,depth,SDN:P01::ADEPZZ01,Depth (spatial coordinate) relative to water surface in the water body,SDN:P06::ULAA,Metres,The distance of a sensor or sampling point below the sea surface,,DEPH,DepBelowSurf,,coordinate,Location,
GF3,DOXY,"BIO,IML,MEDS",ml/L|millilitre per litre|ml/l,,bottle|sample,,,DOXYWITX,Concentration of oxygen {O2 CAS 7782-44-7} per unit volume of the water body [dissolved plus reactive particulate phase] by Winkler titration,ml/L,Winkler Titration,,volume_fraction_of_oxygen_in_sea_water,SDN:P01::DOXYWITX,Concentration of oxygen {O2 CAS 7782-44-7} per unit volume of the water body [dissolved plus reactive particulate phase] by Winkler titration,SDN:P06::UMLL,Millilitres per litre,Concentration of oxygen {O2 CAS 7782-44-7} per unit volume of the water body [dissolved plus reactive particulate phase] by Winkler titration,,DOXY,WC_dissO2_Winkler,,physicalMeasurement,Dissolved O2,
GF3,DOXY,"BIO,IML,MEDS",ml/L|millilitre per litre|ml/l,,,,,DOXYZZ01,Concentration of oxygen {O2 CAS 7782-44-7} per unit volume of the water body [dissolved plus reactive particulate phase] by in-situ sensor,ml/L,,,volume_fraction_of_oxygen_in_sea_water,SDN:P01::DOXYZZ01,Concentration of oxygen {O2 CAS 7782-44-7} per unit volume of the water body [dissolved plus reactive particulate phase] by in-situ sensor,SDN:P06::UMLL,Millilitres per litre,Concentration of oxygen {O2 CAS 7782-44-7} per unit volume of the water body [dissolved plus reactive particulate phase] by in-situ sensor,,DOXY,WC_dissO2_IS,,physicalMeasurement,Dissolved O2,"Oxygen, SBE 43"
GF3,DPDT,,metres/sec|m/s,,,,,dpdt,Lowering Rate,m/s,,,platform_heave_rate_down,,,,,,,DPDT,,,auxiliaryInformation,Other,
GF3,FFFF,,none,,,,,FFFF_XX,Quality Flag: FFFF,,,,status_flag,,,,,,,FFFF,,,qualityInformation,Quality,
GF3,LABT,IML,degree_celsius|Degrees C,,,,,,Lab Temperature,degree_celsius,,,,,,SDN:P06::UPAA,Degrees Celsius,Lab temperature for pH calculation,,LABT,,,physicalMeasurement,Temperature,
GF3,LATD,"BIO,IML,MEDS",degrees_north|degree|deg|degrees,,,,,preciseLat,Latitude East,degrees_north,,,latitude,SDN:P01::ALATZZ01,Latitude north,SDN:P06::DEGN,Degrees north,Latitude north,,LATD,Lat,,coordinate,Location,
GF3,LOND,"BIO,IML,MEDS",degrees_east|degree|deg|degrees,,,,,preciseLon,Longitude North,degrees_east,,,longitude,SDN:P01::ALONZZ01,Longitude east,SDN:P06::DEGE,Degrees east,Longitude east,,LOND,Lon,,coordinate,Location,
GF3,LPHT,IML,Total scale,,,,,PHMASSXX,pH (total scale) {pH[T]} of the water body,Total scale,,,sea_water_ph_reported_on_total_scale,SDN:P01::PHMASSXX,pH (total scale) {pH[T]} of the water body,SDN:P06::UUPH,pH units,,,LPHT,Total_pHmass,,physicalMeasurement,CO2,
GF3,NTRI,"BIO,IML,MEDS",mmol/m^3|millimole per metre cube,,,,,NTRIXXDZ,Concentration of nitrite {NO2- CAS 14797-65-0} per unit volume of the water body [dissolved plus reactive particulate <unknown phase],mmol/m^3,,,mole_concentration_of_nitrite_in_sea_water,SDN:P01::NTRIXXDZ,Concentration of nitrite {NO2- CAS 14797-65-0} per unit volume of the water body [dissolved plus reactive particulate <unknown phase],SDN:P06::MMCM,Millimoles per cubic metre,Concentration of nitrite {NO2- CAS 14797-65-0} per unit volume of the water body [dissolved plus reactive particulate <unknown phase],,NTRI,NO2_Filt,,physicalMeasurement,Nutrients,
GF3,NUM,,none,,number of scans averaged,,,RecPerBin,Number of scans per bin,1,,,,,,SDN:P06::UUUU,Dimensionless,,,CNTR,,,auxiliaryInformation,,
GF3,OCUR,"BIO,IML,MEDS",uA|microampere|ua,,,,,OXYCRWuA01,Raw signal (current) of instrument output by oxygen sensor,uA,,,,SDN:P01::OXYCRW01,Raw signal (current) of instrument output by oxygen sensor,,,Raw signal (current) of instrument output by oxygen sensor,,OCUR,RawOxyMembCurr,,physicalMeasurement,Other,
GF3,OCUR,"BIO,IML,MEDS",mA|milliampere|ma,,,,,OXYCRWmA01,Raw signal (current) of instrument output by oxygen sensor,mA,,,,SDN:P01::OXYCRW01,Raw signal (current) of instrument output by oxygen sensor,,,Raw signal (current) of instrument output by oxygen sensor,,OCUR,RawOxyMembCurr,,physicalMeasurement,Other,
GF3,OSAT,,%,,,,,OXYSZZ01,Oxygen Saturation,%,,,fractional_saturation_of_oxygen_in_sea_water,SDN:P01::OXYSZZ01,Saturation of oxygen {O2 CAS 7782-44-7} in the water body [dissolved plus reactive particulate phase],,,,,OSAT,O2Sat,,physicalMeasurement,Dissolved O2,
GF3,OXV,,volts|V,,,,,OXYOCPVLXX,Raw signal (voltage) of instrument output by oxygen sensor,volts,,,,SDN:P01::OXYOCPVL,Raw signal (voltage) of instrument output by oxygen sensor,SDN:P06::UVLT,Volts,Raw signal (voltage) of instrument output by oxygen sensor,,OXV,Oxy_output_V,,physicalMeasurement,Other,
GF3,OXYV,BIO,volts|V,,,,,OXYOCPVLXX,Raw signal (voltage) of instrument output by oxygen sensor,volts,,,,SDN:P01::OXYOCPVL,Raw signal (voltage) of instrument output by oxygen sensor,SDN:P06::UVLT,Volts,Raw signal (voltage) of instrument output by oxygen sensor,,OXYV,Oxy_output_V,,physicalMeasurement,Other,
GF3,PHA,"BIO,IML,MEDS",mg/m^3,,bottle|sample,,,PHAEZZXX,Concentration of phaeopigments {pheopigments} per unit volume of the water body [particulate >unknown phase],mg/m^3,,,,SDN:P01::PHAEZZXX,Concentration of phaeopigments {pheopigments} per unit volume of the water body [particulate >unknown phase],SDN:P06::UMMC,Milligrams per cubic metre,Concentration of phaeopigments {pheopigments} per unit volume of the water body [particulate >unknown phase],,PHA_,Phae_unspec,,physicalMeasurement,Other,
GF3,PHOS,"BIO,IML,MEDS",mmol/m^3|millimole per metre cube,,,,,PHOSYYDZ,Concentration of phosphate {PO43- CAS 14265-44-2} per unit volume of the water body [dissolved plus reactive particulate phase],mmol/m^3,,,mole_concentration_of_phosphate_in_sea_water,SDN:P01::PHOSYYDZ,Concentration of phosphate {PO43- CAS 14265-44-2} per unit volume of the water body [dissolved plus reactive particulate phase],SDN:P06::MMCM,Millimoles per cubic metre,Concentration of phosphate {PO43- CAS 14265-44-2} per unit volume of the water body [dissolved plus reactive particulate phase],,PHOS,PO4_Unfilt,,physicalMeasurement,Nutrients,
